Control ID,SCF ID,Description,Control Coverage,Response
21.2(j),"GOV-01, GOV-02, GOV-15, GOV-15.1, GOV-15.2, IAC-01, IAC-06","The measures referred to in paragraph 1 shall be based on an all-hazards approach that aims to protect network and information systems and the physical environment of those systems from incidents, and shall include at least the following:
(j) the use of multi-factor authentication or continuous authentication solutions, secured voice, video and text communications and secured emergency communication systems within the entity, where appropriate.y, such as backup management and disaster recovery, and crisis management;",Contributes,"VMware Cloud Foundation (VCF) supports multi-factor authentication (MFA) for interactive access to its management interfaces, including vCenter, SDDC Manager, and other platform components. This capability is realized through identity provider federation, where VCF SSO integrates with external enterprise identity providers such as Microsoft Entra ID, ADFS, Okta, or Ping Identity using standard protocols like SAML 2.0 or OpenID Connect (OIDC). The VCF Identity Broker facilitates this integration, recommending the OAuth 2.0 Authorization Code grant type for MFA-compatible authentication flows.

For non-interactive, service-to-service communications between VCF components, solution users authenticate using certificates, establishing a distinct trust model.

VMware vDefend contributes to identity and access management by providing identity-aware network enforcement through Identity Firewall, which integrates with Active Directory to apply firewall policy based on authenticated user identity.

VCF does not include a built-in MFA mechanism; the MFA capability itself is provided by an external identity provider. Organizations are responsible for deploying and configuring an identity provider that supports MFA policies and then federating VCF SSO to that provider to enforce MFA for interactive management access.

The platform does not provide capabilities for securing voice, video, and text communications or emergency communication systems within the entity. These aspects of the control must be addressed by the customer through separate, external solutions and organizational policies."
21.3,"PRM-04, PRM-05, PRM-07, RSK-09, TDA-01, TDA-06, TPM-01, TPM-01.1, TPM-02, TPM-03, TPM-03.1, TPM-03.2, TPM-03.3, TPM-04, TPM-04.1, TPM-04.4, TPM-05, TPM-05.2, TPM-05.4, TPM-05.5, TPM-05.6, TPM-05.7, TPM-06, TPM-08, TPM-09, TPM-10","Member States shall ensure that, when considering which measures referred to in paragraph 2, point (d), of this Article are appropriate, entities take into account the vulnerabilities specific to each direct supplier and service provider and the overall quality of products and cybersecurity practices of their suppliers and service providers, including their secure development procedures. Member States shall also ensure that, when considering which measures referred to in that point are appropriate, entities are required to take into account the results of the coordinated security risk assessments of critical supply chains carried out in accordance with Article 22(1).",Contributes,"VMware Cloud Foundation provides robust mechanisms for managing third-party access and isolating their operations within the platform.
It integrates with federated identity providers, extending existing identity governance to the platform, and enforces least-privilege principles through role-based access control.

For Kubernetes workloads, vSphere Namespaces scope third-party access to specific workload boundaries. VCF Automation Organizations offer tenant isolation with distinct quotas, permissions, and network boundaries, allowing external partners to operate within defined resource limits. Network isolation between tenants is enforced at the NSX segment level, and data-in-transit communications default to TLS 1.3 encryption.

VCF Operations monitors resource usage and policy compliance, providing visibility into third-party activity and helping detect unauthorized services.

VMware vDefend further contributes by mitigating risks from third-party access through network-level controls and threat detection.

The Distributed Firewall enforces microsegmentation policies at the vNIC level, restricting third-party workloads or user sessions to only the necessary application tiers and services. This network enforcement layer complements identity-based access control by limiting network reach even with valid credentials.

Gateway Firewall provides north-south traffic filtering, controlling inbound and outbound access from third-party networks, with URL filtering and TLS inspection capabilities.

vDefend IDS/IPS monitors traffic for malicious activity, detecting exploitation attempts from compromised third-party connections, and Security Intelligence identifies risky protocols, highlighting insecure communication channels.

The Security Services Platform identifies at-risk workloads, helping contain the blast radius of potential third-party compromises.

While VMware Cloud Foundation and vDefend provide critical technical controls to manage and contain risks associated with third-party access and potential supply chain compromises within the operational environment, they do not inherently perform the initial assessment of supplier vulnerabilities, product quality, cybersecurity practices, or secure development procedures.

The responsibility for conducting these comprehensive supply chain risk assessments, evaluating external supplier practices, and integrating the results of coordinated critical supply chain assessments remains with the customer's governance, risk management, and procurement processes."
21.4,"CPL-01.1, IAO-04, IAO-05, RSK-06, TDA-15, TPM-09, VPM-02, VPM-04, VPM-05.1","Member States shall ensure that an entity that finds that it does not comply with the measures provided for in paragraph 2 takes, without undue delay, all necessary, appropriate and proportionate corrective measures.",Contributes,"VMware Cloud Foundation provides integrated lifecycle management tools for identifying, tracking, and remediating vulnerabilities and configuration drift across the infrastructure stack. SDDC Manager orchestrates centralized lifecycle management, including pre-update validation, health checks, compatibility verification, and update bundle management.

VCF Operations Diagnostics automatically detects known issues and vulnerabilities, providing root cause insights and actionable remediation steps. vSphere Lifecycle Manager (vLCM) manages desired-state configurations for ESX hosts, applying remediation when hosts deviate, extended by Hardware Support Manager (HSM) plugins for firmware and drivers. Configuration Profiles, Host Profiles, and Image-Based Lifecycle Management periodically assess host configurations, alert on drift, and offer automated remediation.

VCF Operations compliance management continuously monitors infrastructure, identifies non-compliant objects, and provides remediation recommendations, with automated remediation actions configurable based on severity. Staged rollouts, rollback capabilities, Live Patching, and Distributed Resource Scheduler (DRS) support controlled and zero-downtime change management during patching.

VMware vDefend contributes to vulnerability remediation by providing network-level threat detection and automated response mechanisms that identify, track, and remediate security events across protected workloads. vDefend Distributed IDS/IPS continuously monitors east-west traffic for known vulnerability exploits using signature-based detection, with custom signatures deployable for custom applications and zero-day vulnerabilities.

The Security Services Platform provides a structured remediation workflow for detected security events, allowing administrators to apply remediation actions that automatically create Distributed Firewall rules or IDS/IPS policies to block attack vectors. Intelligent Assist automates the selection between targeted and comprehensive remediation strategies and handles the creation of necessary groups, security profiles, rules, and policies.

vDefend Advanced Threat Prevention (ATP) provides malware detection and sandboxing capabilities, complementing IDS/IPS by catching threats identifiable through file analysis and behavioral sandboxing.

While VCF provides extensive automated remediation capabilities for infrastructure compliance and vDefend offers automated policy creation for network threats, administrators must review and manually apply suggested vDefend remediations through the NSX Manager UI. The organization remains responsible for defining the specific policies, desired states, and operational procedures that govern the identification of non-compliance, the configuration of automated remediation actions, and the manual application of network security remediations to ensure all necessary, appropriate, and proportionate corrective measures are taken without undue delay."
21.5,"CFG-02, NET-01, SEA-01","By 17 October 2024, the Commission shall adopt implementing acts laying down the technical and the methodological requirements of the measures referred to in paragraph 2 with regard to DNS service providers, TLD name registries, cloud computing service providers, data centre service providers, content delivery network providers, managed service providers, managed security service providers, providers of online market places, of online search engines and of social networking services platforms, and trust service providers.
The Commission may adopt implementing acts laying down the technical and the methodological requirements, as well as sectoral requirements, as necessary, of the measures referred to in paragraph 2 with regard to essential and important entities other than those referred to in the first subparagraph of this paragraph.

When preparing the implementing acts referred to in the first and second subparagraphs of this paragraph, the Commission shall, to the extent possible, follow European and international standards, as well as relevant technical specifications. The Commission shall exchange advice and cooperate with the Cooperation Group and ENISA on the draft implementing acts in accordance with Article 14(4), point (e).

Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 39(2).",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.1,"IRO-01, IRO-02, IRO-10","Each Member State shall ensure that essential and important entities notify, without undue delay, its CSIRT or, where applicable, its competent authority in accordance with paragraph 4 of any incident that has a significant impact on the provision of their services as referred to in paragraph 3 (significant incident). Where appropriate, entities concerned shall notify, without undue delay, the recipients of their services of significant incidents that are likely to adversely affect the provision of those services. Each Member State shall ensure that those entities report, inter alia, any information enabling the CSIRT or, where applicable, the competent authority to determine any cross-border impact of the incident. The mere act of notification shall not subject the notifying entity to increased liability.
Where the entities concerned notify the competent authority of a significant incident under the first subparagraph, the Member State shall ensure that that competent authority forwards the notification to the CSIRT upon receipt.

In the case of a cross-border or cross-sectoral significant incident, Member States shall ensure that their single points of contact are provided in due time with relevant information notified in accordance with paragraph 4.",Contributes,"VMware Cloud Foundation (VCF) provides the technical infrastructure to support incident detection, analysis, containment, and recovery. VCF Operations correlates events from monitored systems into faults, ranked by severity, and allows operators to manage and track incidents, including their status, impact, and urgency. It integrates with ServiceNow through a notification plug-in, enabling incident data to flow into existing ITSM workflows with structured attributes. VCF also offers vCenter Server alarms for automated detection and actions, Diagnostic Findings for issue identification, and Log Assist for support cases. For containment, vCenter Server supports isolating affected workloads, while vSphere HA, Proactive HA, and Fault Tolerance provide automated recovery capabilities.

VMware Live Recovery (VLR) further contributes by offering structured incident handling for disaster recovery scenarios through documented recovery plans, non-disruptive testing, and automated failover orchestration, with event logging and alarms for data protection incidents.

VMware vDefend enhances incident response by providing integrated threat detection, investigation, correlation, and remediation within the network security layer. Its Security Services Platform correlates threat events into multi-stage attack campaigns, and Security Intelligence prioritizes suspicious traffic. vDefend Intelligent Assist offers AI-guided remediation workflows, creating policies in the Distributed Firewall for immediate network-level containment.

While these platforms provide robust technical capabilities for incident management, they do not govern organization-wide incident response processes, define notification policies, or maintain incident response documentation. The responsibility for ensuring essential and important entities notify CSIRTs, competent authorities, and service recipients without undue delay, and for reporting specific information to determine cross-border impact, rests with the customer.

This includes establishing the formal processes, defining the criteria for ""significant impact,"" determining ""undue delay,"" crafting the content of notifications, and executing the actual communication to external parties. The platforms provide the data and tools to support these activities, but the overarching incident response program, its governance, and the final act of external notification are organizational obligations."
23.2,"IRO-10, IRO-10.4, IRO-16","Where applicable, Member States shall ensure that essential and important entities communicate, without undue delay, to the recipients of their services that are potentially affected by a significant cyber threat any measures or remedies that those recipients are able to take in response to that threat. Where appropriate, the entities shall also inform those recipients of the significant cyber threat itself.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.3,IRO-02.4," An incident shall be considered to be significant if:
(a) it has caused or is capable of causing severe operational disruption of the services or financial loss for the entity concerned;
(b) it has affected or is capable of affecting other natural or legal persons by causing considerable material or non-material damage.",Contributes,"VMware vDefend's Security Intelligence categorizes detected suspicious traffic events by impact type, including Critical, High, Medium, and Low, enabling security teams to prioritize incident triage based on severity. The Network Detection and Response (NDR) component assigns impact scores to campaigns, where higher scores indicate a higher priority for triage and response. Detection events are further classified into various impact levels, including Informational for scores ranging from 1 to 24. IDS/IPS and Malware Prevention alerts provide additional contextual signals that enhance incident classification within the platform.

While vDefend provides robust technical capabilities for incident categorization, impact scoring, and prioritization, the broader incident management and the definitive categorization process for what constitutes a ""significant incident"" are governed by organizational procedures and policies. Customers are responsible for establishing and implementing these organizational procedures to formally define and manage significant incidents based on the criteria of severe operational disruption, financial loss, or considerable material or non-material damage to other natural or legal persons."
23.3(a),IRO-02.4," An incident shall be considered to be significant if:
(a) it has caused or is capable of causing severe operational disruption of the services or financial loss for the entity concerned;",Contributes,"VMware vDefend's Security Intelligence categorizes detected suspicious traffic events by impact type, including Critical, High, Medium, and Low, which enables security teams to prioritize incident triage based on severity.

The Network Detection and Response (NDR) component assigns impact scores to campaigns, where higher scores indicate a higher priority for triage and response. Detection events are further classified into various impact levels, such as Informational for scores ranging from 1 to 24. Additionally, IDS/IPS and Malware Prevention alerts provide crucial contextual signals that contribute to the initial classification of incidents.

While vDefend provides robust technical capabilities for event categorization and impact assessment, the broader incident management and the definitive categorization process, including the specific criteria for what constitutes ""severe operational disruption"" or ""financial loss"" for the entity, are governed by organizational procedures and policies that must be established and maintained by the customer."
23.3(b),IRO-02.4," An incident shall be considered to be significant if:
(b) it has affected or is capable of affecting other natural or legal persons by causing considerable material or non-material damage.",Contributes,"VMware vDefend's Security Intelligence categorizes detected suspicious traffic events by impact type, including Critical, High, Medium, and Low, which enables security teams to prioritize incident triage based on severity. The Network Detection and Response (NDR) component assigns impact scores to campaigns, with higher scores indicating a higher priority for triage and response. Detection events are further classified into various impact levels, such as Informational for scores ranging from 1 to 24. Additionally, IDS/IPS and Malware Prevention alerts provide essential contextual signals that contribute to the overall incident classification process.

While vDefend provides robust technical capabilities for assessing and categorizing the impact of security incidents, the broader incident management and categorization process, including the definitive determination of ""considerable material or non-material damage"" and its potential effect on ""other natural or legal persons,"" remains an organizational procedure defined and governed by the customer. The customer is responsible for establishing the policies and processes that translate vDefend's technical impact assessments into the specific criteria for incident significance as required by this control."
23.4,IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:
(a) without undue delay and in any event within 24 hours of becoming aware of the significant incident, an early warning, which, where applicable, shall indicate whether the significant incident is suspected of being caused by unlawful or malicious acts or could have a cross-border impact;
(b) without undue delay and in any event within 72 hours of becoming aware of the significant incident, an incident notification, which, where applicable, shall update the information referred to in point (a) and indicate an initial assessment of the significant incident, including its severity and impact, as well as, where available, the indicators of compromise;
(c) upon the request of a CSIRT or, where applicable, the competent authority, an intermediate report on relevant status updates;
(d) a final report not later than one month after the submission of the incident notification under point (b), including the following:
(i) a detailed description of the incident, including its severity and impact;
(ii) the type of threat or root cause that is likely to have triggered the incident;
(iii) applied and ongoing mitigation measures;
(iv) where applicable, the cross-border impact of the incident;
(e) in the event of an ongoing incident at the time of the submission of the final report referred to in point (d), Member States shall ensure that entities concerned provide a progress report at that time and a final report within one month of their handling of the incident.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(a),IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:
(a) without undue delay and in any event within 24 hours of becoming aware of the significant incident, an early warning, which, where applicable, shall indicate whether the significant incident is suspected of being caused by unlawful or malicious acts or could have a cross-border impact;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(b),IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:
(a) without undue delay and in any event within 24 hours of becoming aware of the significant incident, an early warning, which, where applicable, shall indicate whether the significant incident is suspected of being caused by unlawful or malicious acts or could have a cross-border impact;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(c),IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:
(c) upon the request of a CSIRT or, where applicable, the competent authority, an intermediate report on relevant status updates;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(d),IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:

(d) a final report not later than one month after the submission of the incident notification under point (b), including the following:
(i) a detailed description of the incident, including its severity and impact;
(ii) the type of threat or root cause that is likely to have triggered the incident;
(iii) applied and ongoing mitigation measures;
(iv) where applicable, the cross-border impact of the incident;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(d)(i),IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:

(d) a final report not later than one month after the submission of the incident notification under point (b), including the following:
(i) a detailed description of the incident, including its severity and impact;

",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(d)(ii),"IRO-10, IRO-13"," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:
(d) a final report not later than one month after the submission of the incident notification under point (b), including the following:
(ii) the type of threat or root cause that is likely to have triggered the incident;

",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(d)(iii),IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:

(d) a final report not later than one month after the submission of the incident notification under point (b), including the following:
(iii) applied and ongoing mitigation measures;

",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(d)(iv),IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:

(d) a final report not later than one month after the submission of the incident notification under point (b), including the following:
(iv) where applicable, the cross-border impact of the incident;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
23.4(e),IRO-10," Member States shall ensure that, for the purpose of notification under paragraph 1, the entities concerned submit to the CSIRT or, where applicable, the competent authority:
(e) in the event of an ongoing incident at the time of the submission of the final report referred to in point (d), Member States shall ensure that entities concerned provide a progress report at that time and a final report within one month of their handling of the incident.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
